web,speciesID,degree,species.strength,closeness,weighted.closeness,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
coley2006,70,1,0.2,0.02535345,0.010404498,0,1,0.034979179,0.056818182,0.101755598
coley2006,71,4,1.116666667,0.034970275,0.014092865,1.386294361,4,0.139916717,0.170454545,0.215574105
Ibanez2013,25,16,1.521245421,0.03869969,0.045417849,2.772588722,16,0.709136854,0.648809524,0.080796501
Ibanez2013,26,11,0.768788156,0.03869969,0.041098239,2.397895273,11,0.487531587,0.56462585,0.019851118
Ibanez2013,27,11,0.930372405,0.03869969,0.034973799,2.397895273,11,0.487531587,0.476190476,0.086447371
Ibanez2013,28,13,1.086721612,0.03869969,0.040218868,2.564949357,13,0.576173694,0.578231293,0.07014205
Ibanez2013,29,8,0.907081807,0.037151703,0.025587733,2.079441542,8,0.354568427,0.295918367,0.183231467
Ibanez2013,30,15,1.130967643,0.03869969,0.050217978,2.708050201,15,0.6648158,0.714965986,0.020506552
Ibanez2013,31,11,0.991804029,0.03869969,0.037139928,2.397895273,11,0.487531587,0.510204082,0.078313162
Ibanez2013,32,12,0.85285409,0.03869969,0.042706318,2.48490665,12,0.53185264,0.591836735,0.02511294
Ibanez2013,33,11,0.869383394,0.03869969,0.037544565,2.397895273,11,0.487531587,0.517006803,0.058556621
Ibanez2013,34,16,1.44769536,0.03869969,0.048973432,2.772588722,16,0.709136854,0.68622449,0.059916243
Ibanez2013,35,9,0.631425519,0.037151703,0.034531804,2.197224577,9,0.39888948,0.452380952,0.038309933
Ibanez2013,36,10,0.686187424,0.03869969,0.037603092,2.302585093,10,0.443210534,0.520408163,0.020460199
Ibanez2013,37,11,0.834539072,0.03869969,0.037098676,2.397895273,11,0.487531587,0.520408163,0.050028946
Ibanez2013,38,13,0.994459707,0.03869969,0.043251609,2.564949357,13,0.576173694,0.612244898,0.042127843
Ibanez2013,39,17,1.433745421,0.03869969,0.051153269,2.833213344,17,0.753457907,0.716286515,0.045612518
Ibanez2013,40,8,0.704242979,0.037925697,0.028534067,2.079441542,8,0.354568427,0.336734694,0.117563603
Ibanez2013,41,9,0.798946886,0.03869969,0.032101353,2.197224577,9,0.39888948,0.418367347,0.085387423
Ibanez2013,42,13,0.954044567,0.03869969,0.045140129,2.564949357,13,0.576173694,0.642857143,0.025555742
Ibanez2013,43,12,0.799557387,0.03869969,0.044588509,2.48490665,12,0.53185264,0.629251701,0.002264129
Ibanez2013,44,8,0.551526252,0.03869969,0.031047758,2.079441542,8,0.354568427,0.418367347,0.034256392
Ibanez2013,45,9,0.873748474,0.03869969,0.029435489,2.197224577,9,0.39888948,0.394557823,0.115650682
Ibanez2013,46,9,0.606883394,0.03869969,0.034329767,2.197224577,9,0.39888948,0.465986395,0.026118938
Ibanez2013,47,7,0.466407204,0.037151703,0.029252504,1.945910149,7,0.310247374,0.367346939,0.035565511
Ibanez2013,48,11,0.823489011,0.03869969,0.039127953,2.397895273,11,0.487531587,0.537414966,0.04152844
