,connectance,web asymmetry,links per species,cluster coefficient,nestedness,NODF,weighted nestedness,weighted connectance,H2,number.of.species.HL,number.of.species.LL,mean.number.of.shared.partners.HL,mean.number.of.shared.partners.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,togetherness.HL,togetherness.LL,C.score.HL,C.score.LL,V.ratio.HL,V.ratio.LL,discrepancy.HL,discrepancy.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,functional.complementarity.HL,functional.complementarity.LL,partner.diversity.HL,partner.diversity.LL,generality.HL,vulnerability.LL
Macfadyen2009_plant-herb_B1,0.105522682,-0.714285714,1.175824176,0.064102564,11.55192485,18.56702369,0.518371875,0.103671762,0.761398885,13,78,0.512820513,0.332001332,0.264927812,0.139411493,0.033698832,0.500280807,0.036814044,0.219261691,0.015609082,0.098901099,0.85188763,0.702593703,13.17607973,0.502321857,58,63,1.193634523,3.724510867,0.542150266,0.770770265,7355.273744,7751.514061,2.560093947,0.458329473,17.05591129,1.812349414
Macfadyen2009_plant-herb_B10,0.390804598,-0.8125,1.0625,0.310344828,46.09878201,21.45767843,0.228310937,0.196989491,0.797602252,3,29,2,0.517241379,0.460143343,0.448108687,0.007779818,0.588686869,0.158944133,0.424220033,0.075925926,0.360837438,0.650793651,0.534391534,3.678571429,0.334586466,12,16,1.319410339,11.41696999,0.561724138,0.918295413,2593.43601,2348.655562,2.364756699,0.206849921,11.26300134,1.344326061
Macfadyen2009_plant-herb_B2,0.203703704,-0.142857143,1.047619048,0.166666667,38.82915809,21.56862745,0.058894179,0.103448819,0.812673297,9,12,0.416666667,0.318181818,0.239090576,0.20840973,0.058417266,0.155913978,0.084364048,0.146248196,0.098090278,0.087878788,0.733410494,0.739688552,0.630136986,0.7,13,13,1.758754006,2.322029093,0.632368655,0.69364422,1686.138597,1815.708944,0.828946024,0.484203711,2.469162833,1.875687569
Macfadyen2009_plant-herb_B3,0.114341085,-0.563636364,1.072727273,0.058139535,10.29290844,23.89920881,0.549969238,0.145721815,0.775113789,12,43,0.363636364,0.449612403,0.396485583,0.13524771,0,0,0.057495474,0.322612456,0.01916221,0.127100142,0.788671976,0.575021533,11.59900166,0.672268908,26,33,1.202952191,2.430795369,0.548522003,0.704135,4543.374082,4292.601032,2.335665348,0.365456528,14.40642713,1.622972526
Macfadyen2009_plant-herb_B4,0.109090909,-0.189189189,0.972972973,0.090909091,15.14565868,13.44246032,0.431044813,0.069885448,0.772257639,15,22,0.20952381,0.242424242,0.18265761,0.144187363,0,0,0.086219979,0.154700062,0.049206349,0.068280205,0.83388448,0.775282588,2.008695652,0.720496894,24,24,1.436014085,1.845039016,0.588228944,0.648995263,3520.74235,3823.623306,0.928141552,0.61357172,3.008712733,2.162810444
Macfadyen2009_plant-herb_B5,0.35,-0.428571429,1,0.35,29.11340131,39.01960784,0.235608874,0.186228223,0.811438368,4,10,0.833333333,0.577777778,0.517660209,0.337928465,0,0,0.057414259,0.382222222,0.090277778,0.255555556,0.569444444,0.472222222,2.125,0.594594595,5,6,1.429258901,3.053274634,0.568666667,0.745634122,1166.198375,1166.983152,1.312971931,0.211634246,3.862676397,1.35171386
Macfadyen2009_plant-herb_B6,0.4,-0.538461538,0.923076923,0.1,24.63877057,37.5,0.837167601,0.315264745,0.610871117,3,10,0.666666667,1,0.863012241,0.434805748,NaN,0,0.105039134,0.87037037,0,0.8,1,0.022222222,8.1,0.888888889,1,1,1.243690196,1.482692884,0.564,0.605576498,1363.031032,891.841526,1.75765704,0.211005954,6.892466121,1.304417243
Macfadyen2009_plant-herb_B7,0.357142857,-0.272727273,0.909090909,0.142857143,18.62933464,50,0.767576186,0.262493744,0.481034203,4,7,0.666666667,1,0.739514349,0.470750552,NaN,0,0.284737559,0.773015873,0.166666667,0.535714286,0.666666667,0.047619048,4.909090909,1.444444444,1,1,1.372929678,1.393136961,0.578571429,0.590904612,1048.788794,1133.626764,1.141496717,0.493294315,3.891860162,1.883002208
Macfadyen2009_plant-herb_B8,0.143274854,-0.617021277,1.042553191,0.157894737,21.47997802,13.00905342,0.392150894,0.095373192,0.829996408,9,38,0.444444444,0.26458037,0.223074028,0.180069778,0,0,0.066784852,0.195339701,0.036756453,0.091678521,0.804555976,0.744428639,3.855555556,0.46981263,33,33,1.27508328,3.3727466,0.5570959,0.747223217,4864.826211,4924.476623,1.828876491,0.339845068,7.34445209,1.620628003
Macfadyen2009_plant-herb_B9,0.215277778,-0.6,1.033333333,0.1875,26.33306583,21.56111929,0.464482982,0.141813056,0.824769593,6,24,0.6,0.416666667,0.333646721,0.246782551,0,0,0.07513709,0.312077295,0.047086247,0.188808374,0.692747253,0.599436393,4.416058394,0.445134576,15,16,1.260041452,3.284122743,0.553277526,0.748635143,3643.802913,3645.344871,1.763290078,0.293235415,7.02808803,1.480695303
nakagawa_1,0.187931034,0.183673469,2.224489796,0.15,9.057868828,52.99936939,0.6340519,0.177120389,0,29,20,1.421182266,1.368421053,0.28853211,0.399557102,0.68974624,0.677121407,0.338219884,0.209096672,0.184190271,0.088461538,0.34410109,0.489525455,3.35089568,8.626047711,34,35,2.940311205,2.815806592,0.736268417,0.724512423,41.37139608,41.65754902,1.579839196,2.15102852,5.770642202,11.58715596
nakagawa_2,0.194444444,0.469387755,1.857142857,0.153846154,18.93628661,37.73289799,0.472241102,0.149585109,0,36,13,0.696825397,1.756410256,0.308537616,0.295787546,0.80313886,0.36654098,0.233021106,0.205246643,0.121844293,0.110216346,0.552413391,0.54837815,2.106198526,5.276283619,41,41,4.357011141,1.994451223,0.798761167,0.660369096,38.54796901,36.162152,1.180267478,2.217153061,4.010989011,10.64835165
novotny2005,0.3125,-0.142857143,1.071428571,0.125,21.11959094,49.41860465,0.586788115,0.242857143,0,6,8,0.6,0.964285714,0.575,0.366666667,0,0,0.206363636,0.54047619,0.075,0.357142857,0.6,0.212301587,3.315789474,0.764705882,3,5,1.808346254,1.688418052,0.638491584,0.630315562,9.77767225,7.182346809,1.277769899,0.716703788,4.6,2.2
novotny2012,0.088622291,0.869415808,3.147766323,0.026315789,17.41664825,13.30156639,0.123849532,0.054367563,0,544,38,0.31658271,13.33997155,0.295736612,0.095672521,0.999992805,0.509653137,0.056374446,0.276515883,0.017906112,0.176450961,0.848544676,0.516899178,8.702980272,5.445867667,963,1172,48.52150734,1.689615782,0.979455829,0.628743838,442.4941339,268.1273539,1.875507004,3.916233039,11.23799127,52.04585153
prado2004,0.06328125,-0.428571429,1.446428571,0.0375,7.174419652,13.88811726,0.416368808,0.062003968,0,32,80,0.286290323,0.259810127,0.139197531,0.086033951,0.108982148,0.376491647,0.044188541,0.121709957,0.013421359,0.047022071,0.892624185,0.803030503,6.644997889,0.845822876,115,122,1.703553424,2.916641416,0.625785574,0.7331096,75.78375335,81.52406447,2.064904147,0.866188927,11.13580247,2.75308642
stary2008,0.111405836,-0.380952381,1,0.034482759,11.65125794,19.57644628,0.522866927,0.116780045,0,13,29,0.192307692,0.366995074,0.279146141,0.131868132,0,0,0.041896529,0.257224959,0.015750916,0.133497537,0.852907509,0.653393541,5.603375527,0.369020501,23,29,1.326258215,1.590592431,0.569638058,0.617816422,25.64988984,18.40689498,1.737868,0.45400769,8.095238095,1.714285714
tavakilian1997,0.012176044,0.086330935,1.679856115,0.007874016,1.375591364,2.835587245,0.347106179,0.012751683,0,302,254,0.053354162,0.101553017,0.03144548,0.020505694,0.31394882,0.304901848,0.012872492,0.022322761,0.001676545,0.006119916,0.971905375,0.953614309,4.996901739,2.597225124,818,838,2.571196892,1.839992791,0.71285681,0.645408506,441.9244197,468.3128046,1.601581693,1.583904204,7.987152034,6.192719486
ueckert,0.299003322,-0.50877193,3.157894737,0.23255814,12.09124992,69.31308395,0.778352258,0.230311891,0,14,43,6.857142857,1.726467331,0.426098191,0.566666667,0.727367723,1,0.5615482,0.378662961,0.320393892,0.173703396,0.07949504,0.288358381,12.61172161,6.52949122,29,30,2.648265286,10.92537119,0.717110581,0.907785841,36.45870296,39.61548645,2.745662642,1.815657728,18.32222222,7.933333333
