web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
bodner20096,14,3,0.333333333,1.833333333,0.277777778,0.111111111,0.75,0.75,0.5,0.611111111,2,0.150943396,0.150943396,0.106796117,0.055555556,536870956.2,1.098612289,3,0.370639053,0.333333333,0.436208584
bodner20096,15,5,0.555555556,2.833333333,0.366666667,0,0.5,0.5,0.316227766,0.566666667,1.444444444,0.509433962,0.509433962,0.13592233,0.076923077,2147483651,1.609437912,5,0.617731754,0.555555556,0.303722307
bodner20096,16,1,0.111111111,0.25,-0.75,0.777777778,1,1,1,0.25,2.333333333,0,0,0.098705502,0.047619048,134217776.5,0,1,0.123546351,0.222222222,0
bodner20096,17,1,0.111111111,0.25,-0.75,0.888888889,1,1,1,0.25,2.333333333,0,0,0.098705502,0.047619048,134217776.5,0,1,0.123546351,0.222222222,0
bodner20096,18,1,0.111111111,0.5,-0.5,1,1,1,1,0.5,2.888888889,0,0,0.072815534,0.038461538,134217776.5,0,1,0.123546351,0.111111111,0.5
bodner20096,19,2,0.222222222,1.5,0.25,0.333333333,0.875,0.875,0.661437828,0.75,2.333333333,0,0,0.084142395,0.047619048,268435505,0.693147181,2,0.247092702,0.166666667,0.721057054
coley2006,34,1,0.03030303,0.333333333,-0.666666667,0.405405405,1,1,1,0.333333333,2.891891892,0,0,0.021731528,0.009153098,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,35,1,0.03030303,0.2,-0.8,0.432432432,1,1,1,0.2,2.513513514,0,0,0.025228556,0.009865005,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,36,1,0.03030303,0.2,-0.8,0.459459459,1,1,1,0.2,2.594594595,0,0,0.02472898,0.01063294,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,37,3,0.090909091,0.7,-0.1,0.189189189,0.9375,0.9375,0.559016994,0.233333333,2.405405405,0.017408124,0.016764909,0.027601539,0.013520565,536870956.2,1.098612289,3,0.104937538,0.159090909,0.101948275
coley2006,38,1,0.03030303,0.25,-0.75,0.486486486,1,1,1,0.25,2.567567568,0,0,0.024354299,0.009810502,134217776.5,0,1,0.034979179,0.045454545,0.226294386
coley2006,39,1,0.03030303,0.333333333,-0.666666667,0.513513514,1,1,1,0.333333333,2.459459459,0,0,0.024479193,0.010590662,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,40,1,0.03030303,0.25,-0.75,0.540540541,1,1,1,0.25,2.648648649,0,0,0.023604936,0.009495727,134217776.5,0,1,0.034979179,0.045454545,0.226294386
coley2006,41,2,0.060606061,0.75,-0.125,0.324324324,0.96875,0.96875,0.695970545,0.375,2.459459459,0.001160542,0,0.025728131,0.011029198,268435505,0.693147181,2,0.069958359,0.068181818,0.388614859
