web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
bodner20096,1,2,0.2,1.333333333,0.166666667,0.25,0.888888889,0.666666667,0.888888889,1,2,0,0,0.094594595,0.0625,268435505,0.693147181,2,0.222222222,0.243406173,0.594316129
bodner20096,2,2,0.2,0.7,-0.15,0.375,0.888888889,0.666666667,0.888888889,1,1.375,0.269230769,0.269230769,0.131756757,0.090909091,268435505,0.693147181,2,0.388888889,0.243406173,0.149725846
bodner20096,3,1,0.1,0.2,-0.8,0.75,1,1,1,1,1.5,0,0,0.121621622,0.083333333,134217776.5,0,1,0.277777778,0.121703087,0
bodner20096,4,1,0.1,0.5,-0.5,0.875,1,1,1,1,2.25,0,0,0.081081081,0.055555556,134217776.5,0,1,0.111111111,0.121703087,0.569323442
bodner20096,5,3,0.3,1.533333333,0.177777778,0.125,0.777777778,0.509175077,0.777777778,1,1.25,0.461538462,0.461538462,0.141891892,0.1,536870956.2,1.098612289,3,0.5,0.36510926,0.203795047
bodner20096,6,1,0.1,0.333333333,-0.666666667,1,1,1,1,1,2,0,0,0.094594595,0.0625,134217776.5,0,1,0.166666667,0.121703087,0.317393806
bodner20096,7,2,0.2,0.7,-0.15,0.5,0.888888889,0.666666667,0.888888889,1,1.375,0.269230769,0.269230769,0.131756757,0.090909091,268435505,0.693147181,2,0.388888889,0.243406173,0.149725846
bodner20096,8,4,0.4,3.5,0.625,0,0.666666667,0.40824829,0.666666667,1,2.25,0,0,0.081081081,0.055555556,2147483650,1.386294361,4,0.277777778,0.486812347,0.830706192
bodner20096,9,2,0.2,1.2,0.1,0.625,0.888888889,0.666666667,0.888888889,1,1.5,0,0,0.121621622,0.083333333,268435505,0.693147181,2,0.333333333,0.243406173,0.405683871
coley2006,1,2,0.052631579,0.444444444,-0.277777778,0.53125,0.972972973,0.697485832,0.972972973,1,1.9375,0.018738126,0.015621352,0.031108144,0.016107383,268435505,0.693147181,2,0.136363636,0.074048036,0.22934436
coley2006,2,5,0.131578947,3.267857143,0.453571429,0.03125,0.891891892,0.422348646,0.891891892,1,1.78125,0.036248238,0.019919346,0.033911883,0.018160284,2147483651,1.609437912,5,0.204545455,0.18512009,0.584514659
coley2006,3,2,0.052631579,0.253968254,-0.373015873,0.5625,0.972972973,0.697485832,0.972972973,1,1.65625,0.118335172,0.104634557,0.036048064,0.017811048,268435505,0.693147181,2,0.181818182,0.074048036,0.031223245
coley2006,4,1,0.026315789,0.142857143,-0.857142857,0.75,1,1,1,1,1.96875,0,0,0.029105474,0.014938298,134217776.5,0,1,0.079545455,0.037024018,0.114378125
coley2006,5,2,0.052631579,0.625,-0.1875,0.59375,0.972972973,0.697485832,0.972972973,1,2.125,0.001930502,0.001432665,0.028838451,0.014140069,268435505,0.693147181,2,0.113636364,0.074048036,0.351693902
coley2006,6,3,0.078947368,0.625,-0.125,0.25,0.945945946,0.561529443,0.945945946,1,1.59375,0.135391769,0.133721441,0.036048064,0.018710596,536870956.2,1.098612289,3,0.181818182,0.111072054,0.236634978
coley2006,7,1,0.026315789,0.111111111,-0.888888889,0.78125,1,1,1,1,2.125,0,0,0.028971963,0.013721104,134217776.5,0,1,0.102272727,0.037024018,0
coley2006,8,1,0.026315789,0.125,-0.875,0.8125,1,1,1,1,2.15625,0,0,0.028037383,0.013927436,134217776.5,0,1,0.090909091,0.037024018,0.05360537
coley2006,9,3,0.078947368,1.458333333,0.152777778,0.28125,0.945945946,0.561529443,0.945945946,1,1.71875,0.049880493,0.051735116,0.032843792,0.017474991,536870956.2,1.098612289,3,0.136363636,0.111072054,0.5
coley2006,10,1,0.026315789,0.111111111,-0.888888889,0.84375,1,1,1,1,2.125,0,0,0.028971963,0.013721104,134217776.5,0,1,0.102272727,0.037024018,0
coley2006,11,3,0.078947368,0.958333333,-0.013888889,0.3125,0.945945946,0.561529443,0.945945946,1,1.875,0.051835509,0.057189855,0.031508678,0.01852349,536870956.2,1.098612289,3,0.147727273,0.111072054,0.390947854
coley2006,12,3,0.078947368,2.25,0.416666667,0.34375,0.945945946,0.561529443,0.945945946,1,2.40625,0,0,0.02376502,0.012267212,536870956.2,1.098612289,3,0.068181818,0.111072054,0.781895708
coley2006,13,4,0.105263158,2.361111111,0.340277778,0.15625,0.918918919,0.479301293,0.918918919,1,1.84375,0.054504505,0.050707236,0.032843792,0.015832043,2147483650,1.386294361,4,0.170454545,0.148096072,0.568355667
coley2006,14,3,0.078947368,0.517857143,-0.160714286,0.375,0.945945946,0.561529443,0.945945946,1,1.5625,0.076654716,0.086864966,0.036849132,0.020581655,536870956.2,1.098612289,3,0.215909091,0.111072054,0.148591191
coley2006,15,4,0.105263158,2.361111111,0.340277778,0.1875,0.918918919,0.479301293,0.918918919,1,1.8125,0.046109885,0.043578781,0.033110814,0.016994027,2147483650,1.386294361,4,0.170454545,0.148096072,0.568355667
coley2006,16,4,0.105263158,1.976190476,0.244047619,0.21875,0.918918919,0.479301293,0.918918919,1,1.8125,0.017175339,0.011487091,0.032042724,0.016248675,2147483650,1.386294361,4,0.147727273,0.148096072,0.54978781
coley2006,17,2,0.052631579,0.267857143,-0.366071429,0.625,0.972972973,0.697485832,0.972972973,1,1.65625,0.025579151,0.018997589,0.034445928,0.019917731,268435505,0.693147181,2,0.170454545,0.074048036,0.058764098
coley2006,18,2,0.052631579,0.458333333,-0.270833333,0.65625,0.972972973,0.697485832,0.972972973,1,1.96875,0.024427744,0.016555237,0.03070761,0.015059748,268435505,0.693147181,2,0.125,0.074048036,0.256885213
coley2006,19,3,0.078947368,2.125,0.375,0.40625,0.945945946,0.561529443,0.945945946,1,2.15625,0,0,0.028037383,0.013927436,536870956.2,1.098612289,3,0.113636364,0.111072054,0.672843562
coley2006,20,1,0.026315789,0.125,-0.875,0.875,1,1,1,1,2.15625,0,0,0.028037383,0.013927436,134217776.5,0,1,0.090909091,0.037024018,0.05360537
coley2006,21,1,0.026315789,0.125,-0.875,0.90625,1,1,1,1,1.9375,0,0,0.029906542,0.015436242,134217776.5,0,1,0.090909091,0.037024018,0.05360537
coley2006,22,5,0.131578947,2.833333333,0.366666667,0.0625,0.891891892,0.422348646,0.891891892,1,1.8125,0.057007262,0.048601446,0.031508678,0.016392469,2147483651,1.609437912,5,0.147727273,0.18512009,0.600425653
coley2006,23,3,0.078947368,1.5,0.166666667,0.4375,0.945945946,0.561529443,0.945945946,1,2.03125,0.006686278,0.006233987,0.028571429,0.015308669,536870956.2,1.098612289,3,0.102272727,0.111072054,0.563791416
coley2006,24,1,0.026315789,0.25,-0.75,0.9375,1,1,1,1,2.25,0,0,0.025100134,0.013137227,134217776.5,0,1,0.045454545,0.037024018,0.369070246
coley2006,25,6,0.157894737,3.291666667,0.381944444,0,0.864864865,0.379663198,0.864864865,1,1.90625,0.028957529,0.028653295,0.03070761,0.015899991,1073741870,1.791759469,6,0.204545455,0.222144108,0.55124245
coley2006,26,3,0.078947368,1.666666667,0.222222222,0.46875,0.945945946,0.561529443,0.945945946,1,2.84375,0,0,0.020160214,0.012601014,536870956.2,1.098612289,3,0.079545455,0.111072054,0.654312876
coley2006,27,5,0.131578947,2.291666667,0.258333333,0.09375,0.891891892,0.422348646,0.891891892,1,1.90625,0.028957529,0.028653295,0.03070761,0.015899991,2147483651,1.609437912,5,0.193181818,0.18512009,0.48703002
coley2006,28,3,0.078947368,0.777777778,-0.074074074,0.5,0.945945946,0.561529443,0.945945946,1,1.75,0.06453239,0.061944179,0.03364486,0.016994027,536870956.2,1.098612289,3,0.170454545,0.111072054,0.308625752
coley2006,29,2,0.052631579,1.111111111,0.055555556,0.6875,0.972972973,0.697485832,0.972972973,1,2.125,0,0,0.028971963,0.013721104,268435505,0.693147181,2,0.113636364,0.074048036,0.486229573
coley2006,30,2,0.052631579,1.333333333,0.166666667,0.71875,0.972972973,0.697485832,0.972972973,1,2.375,0,0,0.023497997,0.012431872,268435505,0.693147181,2,0.045454545,0.074048036,0.743114787
coley2006,31,1,0.026315789,0.111111111,-0.888888889,0.96875,1,1,1,1,2.125,0,0,0.028971963,0.013721104,134217776.5,0,1,0.102272727,0.037024018,0
coley2006,32,1,0.026315789,0.25,-0.75,1,1,1,1,1,2.40625,0,0,0.02376502,0.012267212,134217776.5,0,1,0.045454545,0.037024018,0.369070246
coley2006,33,5,0.131578947,1.892857143,0.178571429,0.125,0.891891892,0.422348646,0.891891892,1,1.46875,0.157047864,0.213468565,0.039252336,0.022051774,2147483651,1.609437912,5,0.295454545,0.18512009,0.298335944
Ibanez2013,1,15,0.576923077,1.263077609,0.017538507,0.173913043,0.44,0.171269768,0.44,1,1,0.050062657,0,0.041970803,0.046649614,4294967304,2.708050201,15,0.632653061,0.592279139,0.022565316
Ibanez2013,2,14,0.538461538,1.278982537,0.019927324,0.260869565,0.48,0.18516402,0.48,1,1,0.050062657,0,0.041970803,0.04248636,4294967303,2.63905733,14,0.551020408,0.552793863,0.056168122
Ibanez2013,3,14,0.538461538,1.209149184,0.014939227,0.304347826,0.48,0.18516402,0.48,1,1,0.050062657,0,0.041970803,0.043956352,4294967303,2.63905733,14,0.571428571,0.552793863,0.038193504
Ibanez2013,4,10,0.384615385,0.802792061,-0.019720794,0.608695652,0.64,0.252982213,0.64,1,1,0.050062657,0,0.041970803,0.037383577,2147483653,2.302585093,10,0.43537415,0.394852759,0.036588584
Ibanez2013,5,13,0.5,1.131327414,0.010102109,0.391304348,0.52,0.2,0.52,1,1.043478261,0.011904762,0,0.041058394,0.043260951,4294967303,2.564949357,13,0.530612245,0.513308587,0.044473351
Ibanez2013,6,12,0.461538462,1.092172125,0.00768101,0.565217391,0.56,0.21602469,0.56,1,1,0.050062657,0,0.041970803,0.039088681,1073741873,2.48490665,12,0.482993197,0.473823311,0.060936582
Ibanez2013,7,18,0.692307692,1.676559552,0.037586642,0.086956522,0.32,0.133333333,0.32,1,1,0.050062657,0.008658009,0.041970803,0.049921231,4294967305,2.890371758,18,0.680272109,0.710734967,0.051900498
Ibanez2013,8,15,0.576923077,1.437486125,0.029165742,0.217391304,0.44,0.171269768,0.44,1,1,0.050062657,0,0.041970803,0.04382999,4294967304,2.708050201,15,0.56122449,0.592279139,0.071260311
Ibanez2013,9,9,0.346153846,0.850184538,-0.016646162,0.826086957,0.68,0.274873708,0.68,1,1,0.050062657,0,0.041970803,0.033631071,2147483653,2.197224577,9,0.340136054,0.355367483,0.099821647
Ibanez2013,10,4,0.153846154,0.438131313,-0.140467172,0.956521739,0.88,0.469041576,0.88,1,1.130434783,0,0,0.039233577,0.017501921,2147483650,1.386294361,4,0.12585034,0.157941104,0.199762487
Ibanez2013,11,21,0.807692308,1.898178619,0.04277041,0,0.2,0.097590007,0.2,1,1,0.050062657,0.852813853,0.041970803,0.062837852,4294967307,3.044522438,21,0.802721088,0.829190795,0.019400803
Ibanez2013,12,10,0.384615385,0.830472714,-0.016952729,0.652173913,0.64,0.252982213,0.64,1,1,0.050062657,0,0.041970803,0.037695354,2147483653,2.302585093,10,0.428571429,0.394852759,0.045648113
Ibanez2013,13,4,0.153846154,0.292832168,-0.176791958,1,0.88,0.469041576,0.88,1,1.086956522,0,0,0.040145985,0.02184905,2147483650,1.386294361,4,0.19047619,0.157941104,0.052173544
Ibanez2013,14,8,0.307692308,0.648654532,-0.043918184,0.869565217,0.72,0.3,0.72,1,1,0.050062657,0,0.041970803,0.032001582,2147483652,2.079441542,8,0.353741497,0.315882207,0.048123483
Ibanez2013,15,13,0.5,1.053229124,0.004094548,0.434782609,0.52,0.2,0.52,1,1,0.050062657,0,0.041970803,0.045000367,4294967303,2.564949357,13,0.568027211,0.513308587,0.017085159
Ibanez2013,16,13,0.5,1.131764477,0.010135729,0.47826087,0.52,0.2,0.52,1,1,0.050062657,0,0.041970803,0.043858742,4294967303,2.564949357,13,0.537414966,0.513308587,0.041832573
Ibanez2013,17,10,0.384615385,0.89458499,-0.010541501,0.695652174,0.64,0.252982213,0.64,1,1,0.050062657,0,0.041970803,0.036725824,2147483653,2.302585093,10,0.408163265,0.394852759,0.069270197
Ibanez2013,18,13,0.5,1.222111222,0.017085479,0.52173913,0.52,0.2,0.52,1,1.043478261,0.025,0,0.041058394,0.038927798,4294967303,2.564949357,13,0.489795918,0.513308587,0.074637005
Ibanez2013,19,10,0.384615385,0.835396956,-0.016460304,0.739130435,0.64,0.252982213,0.64,1,1.043478261,0.011904762,0,0.041058394,0.038020677,2147483653,2.302585093,10,0.428571429,0.394852759,0.046817424
Ibanez2013,20,16,0.615384615,1.448329856,0.028020616,0.130434783,0.4,0.158113883,0.4,1,1,0.050062657,0,0.041970803,0.046435506,4294967304,2.772588722,16,0.632653061,0.631764415,0.045649944
Ibanez2013,21,14,0.538461538,1.235299831,0.016807131,0.347826087,0.48,0.18516402,0.48,1,1,0.050062657,0.008658009,0.041970803,0.044669382,4294967303,2.63905733,14,0.571428571,0.552793863,0.042204338
Ibanez2013,22,10,0.384615385,0.861028269,-0.013897173,0.782608696,0.64,0.252982213,0.64,1,1,0.050062657,0,0.041970803,0.035855168,2147483653,2.302585093,10,0.411564626,0.394852759,0.060583583
Ibanez2013,23,20,0.769230769,1.78967601,0.039483801,0.043478261,0.24,0.109544512,0.24,1,1,0.050062657,0.12987013,0.041970803,0.056945115,4294967306,2.995732274,20,0.785034014,0.789705519,0.019500837
Ibanez2013,24,8,0.307692308,0.678578774,-0.040177653,0.913043478,0.72,0.3,0.72,1,1,0.050062657,0,0.041970803,0.033868539,2147483652,2.079441542,8,0.346938776,0.315882207,0.060018563
